REF_DATE,GEO,Custodial and community supervision,VALUE
2014/2015,Northwest Territories,Total actual-in count,174.1
2014/2015,Northwest Territories,"Sentenced, actual-in count",98.8
2014/2015,Northwest Territories,"Remand, actual-in count",75.3
2014/2015,Northwest Territories,"Other statuses, actual-in count",0
2014/2015,Northwest Territories,On-register count,189.1
2014/2015,Northwest Territories,"Incarceration rates per 100,000 adults",528.66
2014/2015,Northwest Territories,Total community supervision count,443.7
2014/2015,Northwest Territories,"Probation, community supervision",420.7
2014/2015,Northwest Territories,"Conditional sentence, community supervision",20.9
2014/2015,Northwest Territories,"Provincial parole, community supervision",2.1
2014/2015,Northwest Territories,"Probation rates per 100,000 adults",1277.5
2014/2015,Nunavut,Total actual-in count,124.8
2014/2015,Nunavut,"Sentenced, actual-in count",67.3
2014/2015,Nunavut,"Remand, actual-in count",54.7
2014/2015,Nunavut,"Other statuses, actual-in count",2.8
2014/2015,Nunavut,On-register count,127.2
2014/2015,Nunavut,"Incarceration rates per 100,000 adults",542.56
2014/2015,Nunavut,Total community supervision count,846.3
2014/2015,Nunavut,"Probation, community supervision",785.3
2014/2015,Nunavut,"Conditional sentence, community supervision",61
2014/2015,Nunavut,"Provincial parole, community supervision",
2014/2015,Nunavut,"Probation rates per 100,000 adults",3415.17
2015/2016,Provinces and Territories,Total actual-in count,25405.4
2015/2016,Provinces and Territories,"Sentenced, actual-in count",10091.4
2015/2016,Provinces and Territories,"Remand, actual-in count",14898.9
2015/2016,Provinces and Territories,"Other statuses, actual-in count",415.1
2015/2016,Provinces and Territories,On-register count,27438.1
2015/2016,Provinces and Territories,"Incarceration rates per 100,000 adults",87.93
2015/2016,Provinces and Territories,Total community supervision count,94949.4
2015/2016,Provinces and Territories,"Probation, community supervision",85844.8
2015/2016,Provinces and Territories,"Conditional sentence, community supervision",8258.8
2015/2016,Provinces and Territories,"Provincial parole, community supervision",845.8
2015/2016,Provinces and Territories,"Probation rates per 100,000 adults",312.25
2015/2016,Newfoundland and Labrador,Total actual-in count,358.7
2015/2016,Newfoundland and Labrador,"Sentenced, actual-in count",210
2015/2016,Newfoundland and Labrador,"Remand, actual-in count",148.7
2015/2016,Newfoundland and Labrador,"Other statuses, actual-in count",0
2015/2016,Newfoundland and Labrador,On-register count,403.4
2015/2016,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",82.11
2015/2016,Newfoundland and Labrador,Total community supervision count,1609.7
2015/2016,Newfoundland and Labrador,"Probation, community supervision",1485.4
2015/2016,Newfoundland and Labrador,"Conditional sentence, community supervision",124.3
2015/2016,Newfoundland and Labrador,"Provincial parole, community supervision",0
2015/2016,Newfoundland and Labrador,"Probation rates per 100,000 adults",340.01
2015/2016,Prince Edward Island,Total actual-in count,83.8
2015/2016,Prince Edward Island,"Sentenced, actual-in count",64.8
2015/2016,Prince Edward Island,"Remand, actual-in count",15.7
2015/2016,Prince Edward Island,"Other statuses, actual-in count",3.3
2015/2016,Prince Edward Island,On-register count,84.4
2015/2016,Prince Edward Island,"Incarceration rates per 100,000 adults",70.68
2015/2016,Prince Edward Island,Total community supervision count,823.7
2015/2016,Prince Edward Island,"Probation, community supervision",819.2
2015/2016,Prince Edward Island,"Conditional sentence, community supervision",4.5
2015/2016,Prince Edward Island,"Provincial parole, community supervision",
2015/2016,Prince Edward Island,"Probation rates per 100,000 adults",691.33
2015/2016,Nova Scotia,Total actual-in count,482.6
2015/2016,Nova Scotia,"Sentenced, actual-in count",194.5
2015/2016,Nova Scotia,"Remand, actual-in count",263.7
2015/2016,Nova Scotia,"Other statuses, actual-in count",24.5
2015/2016,Nova Scotia,On-register count,541.8
2015/2016,Nova Scotia,"Incarceration rates per 100,000 adults",61.94
2015/2016,Nova Scotia,Total community supervision count,
2015/2016,Nova Scotia,"Probation, community supervision",
2015/2016,Nova Scotia,"Conditional sentence, community supervision",
2015/2016,Nova Scotia,"Provincial parole, community supervision",
2015/2016,Nova Scotia,"Probation rates per 100,000 adults",
2015/2016,New Brunswick,Total actual-in count,441.6
2015/2016,New Brunswick,"Sentenced, actual-in count",248.4
2015/2016,New Brunswick,"Remand, actual-in count",193.2
2015/2016,New Brunswick,"Other statuses, actual-in count",
2015/2016,New Brunswick,On-register count,457.4
2015/2016,New Brunswick,"Incarceration rates per 100,000 adults",71.25
2015/2016,New Brunswick,Total community supervision count,
2015/2016,New Brunswick,"Probation, community supervision",
2015/2016,New Brunswick,"Conditional sentence, community supervision",
2015/2016,New Brunswick,"Provincial parole, community supervision",
2015/2016,New Brunswick,"Probation rates per 100,000 adults",
2015/2016,Quebec,Total actual-in count,5097.1
2015/2016,Quebec,"Sentenced, actual-in count",2724.4
2015/2016,Quebec,"Remand, actual-in count",2372.7
2015/2016,Quebec,"Other statuses, actual-in count",0
2015/2016,Quebec,On-register count,5387.4
2015/2016,Quebec,"Incarceration rates per 100,000 adults",75.74
2015/2016,Quebec,Total community supervision count,13581.2
2015/2016,Quebec,"Probation, community supervision",10988.8
2015/2016,Quebec,"Conditional sentence, community supervision",1953.7
2015/2016,Quebec,"Provincial parole, community supervision",638.7
2015/2016,Quebec,"Probation rates per 100,000 adults",163.29
2015/2016,Ontario,Total actual-in count,7960.5
2015/2016,Ontario,"Sentenced, actual-in count",2526.3
2015/2016,Ontario,"Remand, actual-in count",5222.3
2015/2016,Ontario,"Other statuses, actual-in count",212
2015/2016,Ontario,On-register count,8616.5
2015/2016,Ontario,"Incarceration rates per 100,000 adults",71.6
2015/2016,Ontario,Total community supervision count,43976.8
2015/2016,Ontario,"Probation, community supervision",41583.7
2015/2016,Ontario,"Conditional sentence, community supervision",2186.1
2015/2016,Ontario,"Provincial parole, community supervision",207.1
2015/2016,Ontario,"Probation rates per 100,000 adults",374.03
2015/2016,Manitoba,Total actual-in count,2424.3
2015/2016,Manitoba,"Sentenced, actual-in count",826.5
2015/2016,Manitoba,"Remand, actual-in count",1597.8
2015/2016,Manitoba,"Other statuses, actual-in count",
2015/2016,Manitoba,On-register count,2424.3
2015/2016,Manitoba,"Incarceration rates per 100,000 adults",241.74
2015/2016,Manitoba,Total community supervision count,7202.4
2015/2016,Manitoba,"Probation, community supervision",6637.6
2015/2016,Manitoba,"Conditional sentence, community supervision",564.8
2015/2016,Manitoba,"Provincial parole, community supervision",
2015/2016,Manitoba,"Probation rates per 100,000 adults",661.89
2015/2016,Saskatchewan,Total actual-in count,1812.1
2015/2016,Saskatchewan,"Sentenced, actual-in count",1042.7
2015/2016,Saskatchewan,"Remand, actual-in count",769.4
2015/2016,Saskatchewan,"Other statuses, actual-in count",0
2015/2016,Saskatchewan,On-register count,1830.1
2015/2016,Saskatchewan,"Incarceration rates per 100,000 adults",207.16
2015/2016,Saskatchewan,Total community supervision count,5349.6
2015/2016,Saskatchewan,"Probation, community supervision",4228.3
2015/2016,Saskatchewan,"Conditional sentence, community supervision",1121.3
2015/2016,Saskatchewan,"Provincial parole, community supervision",0
2015/2016,Saskatchewan,"Probation rates per 100,000 adults",483.37
2015/2016,Alberta,Total actual-in count,3673.3
2015/2016,Alberta,"Sentenced, actual-in count",1043.5
2015/2016,Alberta,"Remand, actual-in count",2483.5
2015/2016,Alberta,"Other statuses, actual-in count",146.4
2015/2016,Alberta,On-register count,4521.3
2015/2016,Alberta,"Incarceration rates per 100,000 adults",112.29
2015/2016,Alberta,Total community supervision count,8767.3
2015/2016,Alberta,"Probation, community supervision",7755.3
2015/2016,Alberta,"Conditional sentence, community supervision",1012.1
2015/2016,Alberta,"Provincial parole, community supervision",
2015/2016,Alberta,"Probation rates per 100,000 adults",237.07
2015/2016,British Columbia,Total actual-in count,2652.5
2015/2016,British Columbia,"Sentenced, actual-in count",1015.2
2015/2016,British Columbia,"Remand, actual-in count",1610.8
2015/2016,British Columbia,"Other statuses, actual-in count",26.5
2015/2016,British Columbia,On-register count,2751.7
2015/2016,British Columbia,"Incarceration rates per 100,000 adults",68.81
2015/2016,British Columbia,Total community supervision count,12145.6
2015/2016,British Columbia,"Probation, community supervision",10958.5
2015/2016,British Columbia,"Conditional sentence, community supervision",1187.2
2015/2016,British Columbia,"Provincial parole, community supervision",
2015/2016,British Columbia,"Probation rates per 100,000 adults",284.29
2015/2016,Yukon,Total actual-in count,94.4
2015/2016,Yukon,"Sentenced, actual-in count",35.5
2015/2016,Yukon,"Remand, actual-in count",58.9
2015/2016,Yukon,"Other statuses, actual-in count",
2015/2016,Yukon,On-register count,94.4
2015/2016,Yukon,"Incarceration rates per 100,000 adults",316.78
2015/2016,Yukon,Total community supervision count,336.2
2015/2016,Yukon,"Probation, community supervision",300.3
2015/2016,Yukon,"Conditional sentence, community supervision",35.8
2015/2016,Yukon,"Provincial parole, community supervision",
2015/2016,Yukon,"Probation rates per 100,000 adults",1007.32
2015/2016,Northwest Territories,Total actual-in count,189
2015/2016,Northwest Territories,"Sentenced, actual-in count",93.2
2015/2016,Northwest Territories,"Remand, actual-in count",95.8
2015/2016,Northwest Territories,"Other statuses, actual-in count",0
2015/2016,Northwest Territories,On-register count,190
2015/2016,Northwest Territories,"Incarceration rates per 100,000 adults",568.39
2015/2016,Northwest Territories,Total community supervision count,397.4
2015/2016,Northwest Territories,"Probation, community supervision",379.6
2015/2016,Northwest Territories,"Conditional sentence, community supervision",17.8
2015/2016,Northwest Territories,"Provincial parole, community supervision",
2015/2016,Northwest Territories,"Probation rates per 100,000 adults",1141.54
2015/2016,Nunavut,Total actual-in count,135.5
2015/2016,Nunavut,"Sentenced, actual-in count",66.5
2015/2016,Nunavut,"Remand, actual-in count",66.5
2015/2016,Nunavut,"Other statuses, actual-in count",2.5
2015/2016,Nunavut,On-register count,135.5
2015/2016,Nunavut,"Incarceration rates per 100,000 adults",580.62
2015/2016,Nunavut,Total community supervision count,759.5
2015/2016,Nunavut,"Probation, community supervision",708.3
2015/2016,Nunavut,"Conditional sentence, community supervision",51.3
2015/2016,Nunavut,"Provincial parole, community supervision",
2015/2016,Nunavut,"Probation rates per 100,000 adults",3034.88
2016/2017,Provinces and Territories,Total actual-in count,25447.5
2016/2017,Provinces and Territories,"Sentenced, actual-in count",9709.7
2016/2017,Provinces and Territories,"Remand, actual-in count",15416.5
2016/2017,Provinces and Territories,"Other statuses, actual-in count",321.3
2016/2017,Provinces and Territories,On-register count,27074.3
2016/2017,Provinces and Territories,"Incarceration rates per 100,000 adults",86.96
2016/2017,Provinces and Territories,Total community supervision count,93134.7
2016/2017,Provinces and Territories,"Probation, community supervision",84978.3
2016/2017,Provinces and Territories,"Conditional sentence, community supervision",7249.3
2016/2017,Provinces and Territories,"Provincial parole, community supervision",907.1
2016/2017,Provinces and Territories,"Probation rates per 100,000 adults",305.07
2016/2017,Newfoundland and Labrador,Total actual-in count,344.6
2016/2017,Newfoundland and Labrador,"Sentenced, actual-in count",182.4
2016/2017,Newfoundland and Labrador,"Remand, actual-in count",162.3
2016/2017,Newfoundland and Labrador,"Other statuses, actual-in count",0
2016/2017,Newfoundland and Labrador,On-register count,344.6
2016/2017,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",78.56
2016/2017,Newfoundland and Labrador,Total community supervision count,1561.9
2016/2017,Newfoundland and Labrador,"Probation, community supervision",1458.7
2016/2017,Newfoundland and Labrador,"Conditional sentence, community supervision",103.3
2016/2017,Newfoundland and Labrador,"Provincial parole, community supervision",0
2016/2017,Newfoundland and Labrador,"Probation rates per 100,000 adults",332.49
2016/2017,Prince Edward Island,Total actual-in count,79.2
2016/2017,Prince Edward Island,"Sentenced, actual-in count",57.7
2016/2017,Prince Edward Island,"Remand, actual-in count",18.1
2016/2017,Prince Edward Island,"Other statuses, actual-in count",3.4
2016/2017,Prince Edward Island,On-register count,81.2
2016/2017,Prince Edward Island,"Incarceration rates per 100,000 adults",65.64
2016/2017,Prince Edward Island,Total community supervision count,746.4
2016/2017,Prince Edward Island,"Probation, community supervision",737.7
2016/2017,Prince Edward Island,"Conditional sentence, community supervision",8.8
2016/2017,Prince Edward Island,"Provincial parole, community supervision",
2016/2017,Prince Edward Island,"Probation rates per 100,000 adults",611.23
2016/2017,Nova Scotia,Total actual-in count,488.8
2016/2017,Nova Scotia,"Sentenced, actual-in count",183.4
2016/2017,Nova Scotia,"Remand, actual-in count",279.4
2016/2017,Nova Scotia,"Other statuses, actual-in count",26.1
2016/2017,Nova Scotia,On-register count,541.5
2016/2017,Nova Scotia,"Incarceration rates per 100,000 adults",62.19
2016/2017,Nova Scotia,Total community supervision count,
2016/2017,Nova Scotia,"Probation, community supervision",
2016/2017,Nova Scotia,"Conditional sentence, community supervision",
2016/2017,Nova Scotia,"Provincial parole, community supervision",
2016/2017,Nova Scotia,"Probation rates per 100,000 adults",
2016/2017,New Brunswick,Total actual-in count,448.7
2016/2017,New Brunswick,"Sentenced, actual-in count",245.3
2016/2017,New Brunswick,"Remand, actual-in count",203.4
2016/2017,New Brunswick,"Other statuses, actual-in count",
2016/2017,New Brunswick,On-register count,460.3
2016/2017,New Brunswick,"Incarceration rates per 100,000 adults",72.04
2016/2017,New Brunswick,Total community supervision count,
2016/2017,New Brunswick,"Probation, community supervision",
2016/2017,New Brunswick,"Conditional sentence, community supervision",
2016/2017,New Brunswick,"Provincial parole, community supervision",
2016/2017,New Brunswick,"Probation rates per 100,000 adults",
2016/2017,Quebec,Total actual-in count,5068.3
2016/2017,Quebec,"Sentenced, actual-in count",2781.3
2016/2017,Quebec,"Remand, actual-in count",2287
2016/2017,Quebec,"Other statuses, actual-in count",0
2016/2017,Quebec,On-register count,5372.8
2016/2017,Quebec,"Incarceration rates per 100,000 adults",74.71
2016/2017,Quebec,Total community supervision count,13473.5
2016/2017,Quebec,"Probation, community supervision",11229.8
2016/2017,Quebec,"Conditional sentence, community supervision",1542.8
2016/2017,Quebec,"Provincial parole, community supervision",701
2016/2017,Quebec,"Probation rates per 100,000 adults",165.53
2016/2017,Ontario,Total actual-in count,7699.3
2016/2017,Ontario,"Sentenced, actual-in count",2288.1
2016/2017,Ontario,"Remand, actual-in count",5254
2016/2017,Ontario,"Other statuses, actual-in count",157.2
2016/2017,Ontario,On-register count,8527.3
2016/2017,Ontario,"Incarceration rates per 100,000 adults",68.19
2016/2017,Ontario,Total community supervision count,43074.1
2016/2017,Ontario,"Probation, community supervision",40823.8
2016/2017,Ontario,"Conditional sentence, community supervision",2045.2
2016/2017,Ontario,"Provincial parole, community supervision",205.1
2016/2017,Ontario,"Probation rates per 100,000 adults",361.56
2016/2017,Manitoba,Total actual-in count,2454.4
2016/2017,Manitoba,"Sentenced, actual-in count",790.1
2016/2017,Manitoba,"Remand, actual-in count",1664.3
2016/2017,Manitoba,"Other statuses, actual-in count",
2016/2017,Manitoba,On-register count,2454.4
2016/2017,Manitoba,"Incarceration rates per 100,000 adults",240.36
2016/2017,Manitoba,Total community supervision count,7165.9
2016/2017,Manitoba,"Probation, community supervision",6702
2016/2017,Manitoba,"Conditional sentence, community supervision",463.9
2016/2017,Manitoba,"Provincial parole, community supervision",
2016/2017,Manitoba,"Probation rates per 100,000 adults",656.33
2016/2017,Saskatchewan,Total actual-in count,1900.2
2016/2017,Saskatchewan,"Sentenced, actual-in count",1015.3
2016/2017,Saskatchewan,"Remand, actual-in count",884.8
2016/2017,Saskatchewan,"Other statuses, actual-in count",
2016/2017,Saskatchewan,On-register count,1919.2
2016/2017,Saskatchewan,"Incarceration rates per 100,000 adults",214.17
2016/2017,Saskatchewan,Total community supervision count,5378.1
2016/2017,Saskatchewan,"Probation, community supervision",4216.7
2016/2017,Saskatchewan,"Conditional sentence, community supervision",1161.4
2016/2017,Saskatchewan,"Provincial parole, community supervision",
2016/2017,Saskatchewan,"Probation rates per 100,000 adults",475.28
2016/2017,Alberta,Total actual-in count,3825.7
2016/2017,Alberta,"Sentenced, actual-in count",1036
2016/2017,Alberta,"Remand, actual-in count",2682
2016/2017,Alberta,"Other statuses, actual-in count",107.7
2016/2017,Alberta,On-register count,4136.3
2016/2017,Alberta,"Incarceration rates per 100,000 adults",115.46
2016/2017,Alberta,Total community supervision count,7706.3
2016/2017,Alberta,"Probation, community supervision",6939
2016/2017,Alberta,"Conditional sentence, community supervision",767.3
2016/2017,Alberta,"Provincial parole, community supervision",
2016/2017,Alberta,"Probation rates per 100,000 adults",209.43
2016/2017,British Columbia,Total actual-in count,2733.8
2016/2017,British Columbia,"Sentenced, actual-in count",953.2
2016/2017,British Columbia,"Remand, actual-in count",1757.9
2016/2017,British Columbia,"Other statuses, actual-in count",22.8
2016/2017,British Columbia,On-register count,2830.1
2016/2017,British Columbia,"Incarceration rates per 100,000 adults",69.91
2016/2017,British Columbia,Total community supervision count,12552.8
2016/2017,British Columbia,"Probation, community supervision",11511
2016/2017,British Columbia,"Conditional sentence, community supervision",1041.8
2016/2017,British Columbia,"Provincial parole, community supervision",
2016/2017,British Columbia,"Probation rates per 100,000 adults",294.34
2016/2017,Yukon,Total actual-in count,83.4
2016/2017,Yukon,"Sentenced, actual-in count",36.6
2016/2017,Yukon,"Remand, actual-in count",46.8
2016/2017,Yukon,"Other statuses, actual-in count",
2016/2017,Yukon,On-register count,83.4
2016/2017,Yukon,"Incarceration rates per 100,000 adults",273.13
2016/2017,Yukon,Total community supervision count,359.3
2016/2017,Yukon,"Probation, community supervision",319.5
2016/2017,Yukon,"Conditional sentence, community supervision",39.8
2016/2017,Yukon,"Provincial parole, community supervision",
2016/2017,Yukon,"Probation rates per 100,000 adults",1045.86
2016/2017,Northwest Territories,Total actual-in count,183.6
2016/2017,Northwest Territories,"Sentenced, actual-in count",78.3
2016/2017,Northwest Territories,"Remand, actual-in count",105.3
2016/2017,Northwest Territories,"Other statuses, actual-in count",0
2016/2017,Northwest Territories,On-register count,183.6
2016/2017,Northwest Territories,"Incarceration rates per 100,000 adults",546.61
2016/2017,Northwest Territories,Total community supervision count,384.6
2016/2017,Northwest Territories,"Probation, community supervision",361.2
2016/2017,Northwest Territories,"Conditional sentence, community supervision",23.4
2016/2017,Northwest Territories,"Provincial parole, community supervision",
2016/2017,Northwest Territories,"Probation rates per 100,000 adults",1075.35
2016/2017,Nunavut,Total actual-in count,137.5
2016/2017,Nunavut,"Sentenced, actual-in count",62.2
2016/2017,Nunavut,"Remand, actual-in count",71.2
2016/2017,Nunavut,"Other statuses, actual-in count",4.2
2016/2017,Nunavut,On-register count,139.5
2016/2017,Nunavut,"Incarceration rates per 100,000 adults",578.87
2016/2017,Nunavut,Total community supervision count,731.8
2016/2017,Nunavut,"Probation, community supervision",679
2016/2017,Nunavut,"Conditional sentence, community supervision",51.8
2016/2017,Nunavut,"Provincial parole, community supervision",1
2016/2017,Nunavut,"Probation rates per 100,000 adults",2858.59
2017/2018,Provinces and Territories,Total actual-in count,24680.5
2017/2018,Provinces and Territories,"Sentenced, actual-in count",9545.2
2017/2018,Provinces and Territories,"Remand, actual-in count",14832.7
2017/2018,Provinces and Territories,"Other statuses, actual-in count",302.6
2017/2018,Provinces and Territories,On-register count,26469.2
2017/2018,Provinces and Territories,"Incarceration rates per 100,000 adults",83.88
2017/2018,Provinces and Territories,Total community supervision count,94904
2017/2018,Provinces and Territories,"Probation, community supervision",87341.6
2017/2018,Provinces and Territories,"Conditional sentence, community supervision",6528.9
2017/2018,Provinces and Territories,"Provincial parole, community supervision",1033.5
2017/2018,Provinces and Territories,"Probation rates per 100,000 adults",312.23
2017/2018,Newfoundland and Labrador,Total actual-in count,342.3
2017/2018,Newfoundland and Labrador,"Sentenced, actual-in count",184.9
2017/2018,Newfoundland and Labrador,"Remand, actual-in count",157.4
2017/2018,Newfoundland and Labrador,"Other statuses, actual-in count",0
2017/2018,Newfoundland and Labrador,On-register count,394.3
2017/2018,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",78.18
2017/2018,Newfoundland and Labrador,Total community supervision count,1551.7
2017/2018,Newfoundland and Labrador,"Probation, community supervision",1451.5
2017/2018,Newfoundland and Labrador,"Conditional sentence, community supervision",100.2
2017/2018,Newfoundland and Labrador,"Provincial parole, community supervision",0
2017/2018,Newfoundland and Labrador,"Probation rates per 100,000 adults",331.49
2017/2018,Prince Edward Island,Total actual-in count,88
2017/2018,Prince Edward Island,"Sentenced, actual-in count",62.1
2017/2018,Prince Edward Island,"Remand, actual-in count",22.5
2017/2018,Prince Edward Island,"Other statuses, actual-in count",3.4
2017/2018,Prince Edward Island,On-register count,89.2
2017/2018,Prince Edward Island,"Incarceration rates per 100,000 adults",72.38
2017/2018,Prince Edward Island,Total community supervision count,705.3
2017/2018,Prince Edward Island,"Probation, community supervision",705
2017/2018,Prince Edward Island,"Conditional sentence, community supervision",0.3
2017/2018,Prince Edward Island,"Provincial parole, community supervision",
2017/2018,Prince Edward Island,"Probation rates per 100,000 adults",579.75
2017/2018,Nova Scotia,Total actual-in count,469.7
2017/2018,Nova Scotia,"Sentenced, actual-in count",158
2017/2018,Nova Scotia,"Remand, actual-in count",289
2017/2018,Nova Scotia,"Other statuses, actual-in count",22.7
2017/2018,Nova Scotia,On-register count,522.7
2017/2018,Nova Scotia,"Incarceration rates per 100,000 adults",59.78
2017/2018,Nova Scotia,Total community supervision count,
2017/2018,Nova Scotia,"Probation, community supervision",
2017/2018,Nova Scotia,"Conditional sentence, community supervision",
2017/2018,Nova Scotia,"Provincial parole, community supervision",
2017/2018,Nova Scotia,"Probation rates per 100,000 adults",
2017/2018,New Brunswick,Total actual-in count,472.2
2017/2018,New Brunswick,"Sentenced, actual-in count",256.4
2017/2018,New Brunswick,"Remand, actual-in count",215.8
2017/2018,New Brunswick,"Other statuses, actual-in count",
2017/2018,New Brunswick,On-register count,483.9
2017/2018,New Brunswick,"Incarceration rates per 100,000 adults",74.78
2017/2018,New Brunswick,Total community supervision count,
2017/2018,New Brunswick,"Probation, community supervision",
2017/2018,New Brunswick,"Conditional sentence, community supervision",
2017/2018,New Brunswick,"Provincial parole, community supervision",
2017/2018,New Brunswick,"Probation rates per 100,000 adults",
2017/2018,Quebec,Total actual-in count,4835.6
2017/2018,Quebec,"Sentenced, actual-in count",2770.4
2017/2018,Quebec,"Remand, actual-in count",2065.2
2017/2018,Quebec,"Other statuses, actual-in count",0
2017/2018,Quebec,On-register count,5183.3
2017/2018,Quebec,"Incarceration rates per 100,000 adults",71.68
2017/2018,Quebec,Total community supervision count,14305
2017/2018,Quebec,"Probation, community supervision",12040.9
2017/2018,Quebec,"Conditional sentence, community supervision",1472.4
2017/2018,Quebec,"Provincial parole, community supervision",791.7
2017/2018,Quebec,"Probation rates per 100,000 adults",178.48
2017/2018,Ontario,Total actual-in count,7473.7
2017/2018,Ontario,"Sentenced, actual-in count",2259.6
2017/2018,Ontario,"Remand, actual-in count",5081.7
2017/2018,Ontario,"Other statuses, actual-in count",132.4
2017/2018,Ontario,On-register count,8501.7
2017/2018,Ontario,"Incarceration rates per 100,000 adults",65.91
2017/2018,Ontario,Total community supervision count,43009.8
2017/2018,Ontario,"Probation, community supervision",40675.3
2017/2018,Ontario,"Conditional sentence, community supervision",2092.6
2017/2018,Ontario,"Provincial parole, community supervision",241.8
2017/2018,Ontario,"Probation rates per 100,000 adults",358.72
2017/2018,Manitoba,Total actual-in count,2399.8
2017/2018,Manitoba,"Sentenced, actual-in count",746.7
2017/2018,Manitoba,"Remand, actual-in count",1653.1
2017/2018,Manitoba,"Other statuses, actual-in count",
2017/2018,Manitoba,On-register count,2399.8
2017/2018,Manitoba,"Incarceration rates per 100,000 adults",232.73
2017/2018,Manitoba,Total community supervision count,7053.1
2017/2018,Manitoba,"Probation, community supervision",6693
2017/2018,Manitoba,"Conditional sentence, community supervision",360.1
2017/2018,Manitoba,"Provincial parole, community supervision",0
2017/2018,Manitoba,"Probation rates per 100,000 adults",649.1
2017/2018,Saskatchewan,Total actual-in count,1884.4
2017/2018,Saskatchewan,"Sentenced, actual-in count",965.8
2017/2018,Saskatchewan,"Remand, actual-in count",917.4
2017/2018,Saskatchewan,"Other statuses, actual-in count",1.2
2017/2018,Saskatchewan,On-register count,1884.4
2017/2018,Saskatchewan,"Incarceration rates per 100,000 adults",212.95
2017/2018,Saskatchewan,Total community supervision count,5974.8
2017/2018,Saskatchewan,"Probation, community supervision",5010.8
2017/2018,Saskatchewan,"Conditional sentence, community supervision",963.9
2017/2018,Saskatchewan,"Provincial parole, community supervision",0
2017/2018,Saskatchewan,"Probation rates per 100,000 adults",566.28
2017/2018,Alberta,Total actual-in count,3706.9
2017/2018,Alberta,"Sentenced, actual-in count",1074.5
2017/2018,Alberta,"Remand, actual-in count",2518.4
2017/2018,Alberta,"Other statuses, actual-in count",114
2017/2018,Alberta,On-register count,3999.6
2017/2018,Alberta,"Incarceration rates per 100,000 adults",112.49
2017/2018,Alberta,Total community supervision count,8648.7
2017/2018,Alberta,"Probation, community supervision",7931.8
2017/2018,Alberta,"Conditional sentence, community supervision",716.8
2017/2018,Alberta,"Provincial parole, community supervision",0
2017/2018,Alberta,"Probation rates per 100,000 adults",240.7
2017/2018,British Columbia,Total actual-in count,2620.7
2017/2018,British Columbia,"Sentenced, actual-in count",903.1
2017/2018,British Columbia,"Remand, actual-in count",1692.1
2017/2018,British Columbia,"Other statuses, actual-in count",25.5
2017/2018,British Columbia,On-register count,2620.7
2017/2018,British Columbia,"Incarceration rates per 100,000 adults",64.56
2017/2018,British Columbia,Total community supervision count,12579.8
2017/2018,British Columbia,"Probation, community supervision",11826.4
2017/2018,British Columbia,"Conditional sentence, community supervision",753.3
2017/2018,British Columbia,"Provincial parole, community supervision",0
2017/2018,British Columbia,"Probation rates per 100,000 adults",291.33
2017/2018,Yukon,Total actual-in count,59.2
2017/2018,Yukon,"Sentenced, actual-in count",22.4
2017/2018,Yukon,"Remand, actual-in count",36.8
2017/2018,Yukon,"Other statuses, actual-in count",0
2017/2018,Yukon,On-register count,59.2
2017/2018,Yukon,"Incarceration rates per 100,000 adults",186.41
2017/2018,Yukon,Total community supervision count,
2017/2018,Yukon,"Probation, community supervision",
2017/2018,Yukon,"Conditional sentence, community supervision",
2017/2018,Yukon,"Provincial parole, community supervision",
2017/2018,Yukon,"Probation rates per 100,000 adults",
2017/2018,Northwest Territories,Total actual-in count,176.3
2017/2018,Northwest Territories,"Sentenced, actual-in count",74.4
2017/2018,Northwest Territories,"Remand, actual-in count",101.9
2017/2018,Northwest Territories,"Other statuses, actual-in count",0
2017/2018,Northwest Territories,On-register count,176.3
2017/2018,Northwest Territories,"Incarceration rates per 100,000 adults",517.24
2017/2018,Northwest Territories,Total community supervision count,356.3
2017/2018,Northwest Territories,"Probation, community supervision",334
2017/2018,Northwest Territories,"Conditional sentence, community supervision",22.3
2017/2018,Northwest Territories,"Provincial parole, community supervision",0
2017/2018,Northwest Territories,"Probation rates per 100,000 adults",979.73
2017/2018,Nunavut,Total actual-in count,151.7
2017/2018,Nunavut,"Sentenced, actual-in count",66.9
2017/2018,Nunavut,"Remand, actual-in count",81.3
2017/2018,Nunavut,"Other statuses, actual-in count",3.4
2017/2018,Nunavut,On-register count,154
2017/2018,Nunavut,"Incarceration rates per 100,000 adults",642.41
2017/2018,Nunavut,Total community supervision count,719.7
2017/2018,Nunavut,"Probation, community supervision",672.8
2017/2018,Nunavut,"Conditional sentence, community supervision",46.9
2017/2018,Nunavut,"Provincial parole, community supervision",0
2017/2018,Nunavut,"Probation rates per 100,000 adults",2849.55
2018/2019,Provinces and Territories,Total actual-in count,23783.2
2018/2019,Provinces and Territories,"Sentenced, actual-in count",8708.2
2018/2019,Provinces and Territories,"Remand, actual-in count",14778.4
2018/2019,Provinces and Territories,"Other statuses, actual-in count",296.6
2018/2019,Provinces and Territories,On-register count,25476.4
2018/2019,Provinces and Territories,"Incarceration rates per 100,000 adults",79.57
2018/2019,Provinces and Territories,Total community supervision count,89838.3
2018/2019,Provinces and Territories,"Probation, community supervision",82499.9
