REF_DATE,GEO,Custodial admissions,Indigenous identity,VALUE
2016/2017,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",444
2016/2017,Nunavut,Remand,Indigenous identity,426
2016/2017,Nunavut,Remand,Non-Indigenous identity,0
2016/2017,Nunavut,Remand,Indigenous identity unknown,18
2017/2018,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",243190
2017/2018,All Provinces and territories,"Total, custodial admissions",Indigenous identity,73348
2017/2018,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,168731
2017/2018,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,1111
2017/2018,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",80759
2017/2018,All Provinces and territories,Sentenced,Indigenous identity,24179
2017/2018,All Provinces and territories,Sentenced,Non-Indigenous identity,56095
2017/2018,All Provinces and territories,Sentenced,Indigenous identity unknown,485
2017/2018,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",141905
2017/2018,All Provinces and territories,Remand,Indigenous identity,42189
2017/2018,All Provinces and territories,Remand,Non-Indigenous identity,99177
2017/2018,All Provinces and territories,Remand,Indigenous identity unknown,539
2017/2018,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",20526
2017/2018,All Provinces and territories,Other custodial statuses,Indigenous identity,6980
2017/2018,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,13459
2017/2018,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,87
2017/2018,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1931
2017/2018,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,405
2017/2018,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1526
2017/2018,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2017/2018,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",938
2017/2018,Newfoundland and Labrador,Sentenced,Indigenous identity,197
2017/2018,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,741
2017/2018,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2017/2018,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",891
2017/2018,Newfoundland and Labrador,Remand,Indigenous identity,198
2017/2018,Newfoundland and Labrador,Remand,Non-Indigenous identity,693
2017/2018,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2017/2018,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",102
2017/2018,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,10
2017/2018,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,92
2017/2018,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2017/2018,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",680
2017/2018,Prince Edward Island,"Total, custodial admissions",Indigenous identity,32
2017/2018,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,641
2017/2018,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,7
2017/2018,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",481
2017/2018,Prince Edward Island,Sentenced,Indigenous identity,21
2017/2018,Prince Edward Island,Sentenced,Non-Indigenous identity,456
2017/2018,Prince Edward Island,Sentenced,Indigenous identity unknown,4
2017/2018,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",196
2017/2018,Prince Edward Island,Remand,Indigenous identity,11
2017/2018,Prince Edward Island,Remand,Non-Indigenous identity,182
2017/2018,Prince Edward Island,Remand,Indigenous identity unknown,3
2017/2018,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3
2017/2018,Prince Edward Island,Other custodial statuses,Indigenous identity,0
2017/2018,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,3
2017/2018,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,0
2017/2018,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4812
2017/2018,Nova Scotia,"Total, custodial admissions",Indigenous identity,423
2017/2018,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,4375
2017/2018,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,14
2017/2018,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",1586
2017/2018,Nova Scotia,Sentenced,Indigenous identity,118
2017/2018,Nova Scotia,Sentenced,Non-Indigenous identity,1465
2017/2018,Nova Scotia,Sentenced,Indigenous identity unknown,3
2017/2018,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",3034
2017/2018,Nova Scotia,Remand,Indigenous identity,281
2017/2018,Nova Scotia,Remand,Non-Indigenous identity,2742
2017/2018,Nova Scotia,Remand,Indigenous identity unknown,11
2017/2018,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",192
2017/2018,Nova Scotia,Other custodial statuses,Indigenous identity,24
2017/2018,Nova Scotia,Other custodial statuses,Non-Indigenous identity,168
2017/2018,Nova Scotia,Other custodial statuses,Indigenous identity unknown,0
2017/2018,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",5490
2017/2018,New Brunswick,"Total, custodial admissions",Indigenous identity,553
2017/2018,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,4933
2017/2018,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,4
2017/2018,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",2464
2017/2018,New Brunswick,Sentenced,Indigenous identity,244
2017/2018,New Brunswick,Sentenced,Non-Indigenous identity,2217
2017/2018,New Brunswick,Sentenced,Indigenous identity unknown,3
2017/2018,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",2350
2017/2018,New Brunswick,Remand,Indigenous identity,230
2017/2018,New Brunswick,Remand,Non-Indigenous identity,2120
2017/2018,New Brunswick,Remand,Indigenous identity unknown,0
2017/2018,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",676
2017/2018,New Brunswick,Other custodial statuses,Indigenous identity,79
2017/2018,New Brunswick,Other custodial statuses,Non-Indigenous identity,596
2017/2018,New Brunswick,Other custodial statuses,Indigenous identity unknown,1
2017/2018,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",45380
2017/2018,Quebec,"Total, custodial admissions",Indigenous identity,2308
2017/2018,Quebec,"Total, custodial admissions",Non-Indigenous identity,43072
2017/2018,Quebec,"Total, custodial admissions",Indigenous identity unknown,0
2017/2018,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",12682
2017/2018,Quebec,Sentenced,Indigenous identity,355
2017/2018,Quebec,Sentenced,Non-Indigenous identity,12327
2017/2018,Quebec,Sentenced,Indigenous identity unknown,0
2017/2018,Quebec,Remand,"Total, custodial admissions by Indigenous identity",29140
2017/2018,Quebec,Remand,Indigenous identity,1920
2017/2018,Quebec,Remand,Non-Indigenous identity,27220
2017/2018,Quebec,Remand,Indigenous identity unknown,0
2017/2018,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3558
2017/2018,Quebec,Other custodial statuses,Indigenous identity,33
2017/2018,Quebec,Other custodial statuses,Non-Indigenous identity,3525
2017/2018,Quebec,Other custodial statuses,Indigenous identity unknown,0
2017/2018,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",69190
2017/2018,Ontario,"Total, custodial admissions",Indigenous identity,8456
2017/2018,Ontario,"Total, custodial admissions",Non-Indigenous identity,60734
2017/2018,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2017/2018,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",20729
2017/2018,Ontario,Sentenced,Indigenous identity,2224
2017/2018,Ontario,Sentenced,Non-Indigenous identity,18505
2017/2018,Ontario,Sentenced,Indigenous identity unknown,0
2017/2018,Ontario,Remand,"Total, custodial admissions by Indigenous identity",43646
2017/2018,Ontario,Remand,Indigenous identity,5889
2017/2018,Ontario,Remand,Non-Indigenous identity,37757
2017/2018,Ontario,Remand,Indigenous identity unknown,0
2017/2018,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",4815
2017/2018,Ontario,Other custodial statuses,Indigenous identity,343
2017/2018,Ontario,Other custodial statuses,Non-Indigenous identity,4472
2017/2018,Ontario,Other custodial statuses,Indigenous identity unknown,0
2017/2018,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",29791
2017/2018,Manitoba,"Total, custodial admissions",Indigenous identity,22280
2017/2018,Manitoba,"Total, custodial admissions",Non-Indigenous identity,7511
2017/2018,Manitoba,"Total, custodial admissions",Indigenous identity unknown,0
2017/2018,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",7333
2017/2018,Manitoba,Sentenced,Indigenous identity,5669
2017/2018,Manitoba,Sentenced,Non-Indigenous identity,1664
2017/2018,Manitoba,Sentenced,Indigenous identity unknown,0
2017/2018,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",14781
2017/2018,Manitoba,Remand,Indigenous identity,11170
2017/2018,Manitoba,Remand,Non-Indigenous identity,3611
2017/2018,Manitoba,Remand,Indigenous identity unknown,0
2017/2018,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",7677
2017/2018,Manitoba,Other custodial statuses,Indigenous identity,5441
2017/2018,Manitoba,Other custodial statuses,Non-Indigenous identity,2236
2017/2018,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2017/2018,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",13304
2017/2018,Saskatchewan,"Total, custodial admissions",Indigenous identity,9902
2017/2018,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,3052
2017/2018,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,350
2017/2018,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",4660
2017/2018,Saskatchewan,Sentenced,Indigenous identity,3454
2017/2018,Saskatchewan,Sentenced,Non-Indigenous identity,1105
2017/2018,Saskatchewan,Sentenced,Indigenous identity unknown,101
2017/2018,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",8374
2017/2018,Saskatchewan,Remand,Indigenous identity,6254
2017/2018,Saskatchewan,Remand,Non-Indigenous identity,1881
2017/2018,Saskatchewan,Remand,Indigenous identity unknown,239
2017/2018,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",270
2017/2018,Saskatchewan,Other custodial statuses,Indigenous identity,194
2017/2018,Saskatchewan,Other custodial statuses,Non-Indigenous identity,66
2017/2018,Saskatchewan,Other custodial statuses,Indigenous identity unknown,10
2017/2018,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",44105
2017/2018,Alberta,"Total, custodial admissions",Indigenous identity,18413
2017/2018,Alberta,"Total, custodial admissions",Non-Indigenous identity,25105
2017/2018,Alberta,"Total, custodial admissions",Indigenous identity unknown,587
2017/2018,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",18419
2017/2018,Alberta,Sentenced,Indigenous identity,7590
2017/2018,Alberta,Sentenced,Non-Indigenous identity,10516
2017/2018,Alberta,Sentenced,Indigenous identity unknown,313
2017/2018,Alberta,Remand,"Total, custodial admissions by Indigenous identity",23812
2017/2018,Alberta,Remand,Indigenous identity,10280
2017/2018,Alberta,Remand,Non-Indigenous identity,13318
2017/2018,Alberta,Remand,Indigenous identity unknown,214
2017/2018,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",1874
2017/2018,Alberta,Other custodial statuses,Indigenous identity,543
2017/2018,Alberta,Other custodial statuses,Non-Indigenous identity,1271
2017/2018,Alberta,Other custodial statuses,Indigenous identity unknown,60
2017/2018,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",25976
2017/2018,British Columbia,"Total, custodial admissions",Indigenous identity,8420
2017/2018,British Columbia,"Total, custodial admissions",Non-Indigenous identity,17471
2017/2018,British Columbia,"Total, custodial admissions",Indigenous identity unknown,85
2017/2018,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",10534
2017/2018,British Columbia,Sentenced,Indigenous identity,3522
2017/2018,British Columbia,Sentenced,Non-Indigenous identity,6986
2017/2018,British Columbia,Sentenced,Indigenous identity unknown,26
2017/2018,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",14089
2017/2018,British Columbia,Remand,Indigenous identity,4586
2017/2018,British Columbia,Remand,Non-Indigenous identity,9460
2017/2018,British Columbia,Remand,Indigenous identity unknown,43
2017/2018,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",1353
2017/2018,British Columbia,Other custodial statuses,Indigenous identity,312
2017/2018,British Columbia,Other custodial statuses,Non-Indigenous identity,1025
2017/2018,British Columbia,Other custodial statuses,Indigenous identity unknown,16
2017/2018,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",476
2017/2018,Yukon,"Total, custodial admissions",Indigenous identity,296
2017/2018,Yukon,"Total, custodial admissions",Non-Indigenous identity,180
2017/2018,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2017/2018,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",162
2017/2018,Yukon,Sentenced,Indigenous identity,95
2017/2018,Yukon,Sentenced,Non-Indigenous identity,67
2017/2018,Yukon,Sentenced,Indigenous identity unknown,0
2017/2018,Yukon,Remand,"Total, custodial admissions by Indigenous identity",308
2017/2018,Yukon,Remand,Indigenous identity,200
2017/2018,Yukon,Remand,Non-Indigenous identity,108
2017/2018,Yukon,Remand,Indigenous identity unknown,0
2017/2018,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",6
2017/2018,Yukon,Other custodial statuses,Indigenous identity,1
2017/2018,Yukon,Other custodial statuses,Non-Indigenous identity,5
2017/2018,Yukon,Other custodial statuses,Indigenous identity unknown,0
2017/2018,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1073
2017/2018,Northwest Territories,"Total, custodial admissions",Indigenous identity,920
2017/2018,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,131
2017/2018,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,22
2017/2018,Northwest Territories,Sentenced,"Total, custodial admissions by Indigenous identity",356
2017/2018,Northwest Territories,Sentenced,Indigenous identity,291
2017/2018,Northwest Territories,Sentenced,Non-Indigenous identity,46
2017/2018,Northwest Territories,Sentenced,Indigenous identity unknown,19
2017/2018,Northwest Territories,Remand,"Total, custodial admissions by Indigenous identity",717
2017/2018,Northwest Territories,Remand,Indigenous identity,629
2017/2018,Northwest Territories,Remand,Non-Indigenous identity,85
2017/2018,Northwest Territories,Remand,Indigenous identity unknown,3
2017/2018,Northwest Territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",0
2017/2018,Northwest Territories,Other custodial statuses,Indigenous identity,0
2017/2018,Northwest Territories,Other custodial statuses,Non-Indigenous identity,0
2017/2018,Northwest Territories,Other custodial statuses,Indigenous identity unknown,0
2017/2018,Nunavut,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",982
2017/2018,Nunavut,"Total, custodial admissions",Indigenous identity,940
2017/2018,Nunavut,"Total, custodial admissions",Non-Indigenous identity,0
2017/2018,Nunavut,"Total, custodial admissions",Indigenous identity unknown,42
2017/2018,Nunavut,Sentenced,"Total, custodial admissions by Indigenous identity",415
2017/2018,Nunavut,Sentenced,Indigenous identity,399
2017/2018,Nunavut,Sentenced,Non-Indigenous identity,0
2017/2018,Nunavut,Sentenced,Indigenous identity unknown,16
2017/2018,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",567
2017/2018,Nunavut,Remand,Indigenous identity,541
2017/2018,Nunavut,Remand,Non-Indigenous identity,0
2017/2018,Nunavut,Remand,Indigenous identity unknown,26
2017/2018,Nunavut,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2017/2018,Nunavut,Other custodial statuses,Indigenous identity,
2017/2018,Nunavut,Other custodial statuses,Non-Indigenous identity,
2017/2018,Nunavut,Other custodial statuses,Indigenous identity unknown,
2018/2019,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",226048
2018/2019,All Provinces and territories,"Total, custodial admissions",Indigenous identity,68814
2018/2019,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,156294
2018/2019,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,940
2018/2019,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",72312
2018/2019,All Provinces and territories,Sentenced,Indigenous identity,21263
2018/2019,All Provinces and territories,Sentenced,Non-Indigenous identity,50630
2018/2019,All Provinces and territories,Sentenced,Indigenous identity unknown,419
2018/2019,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",133267
2018/2019,All Provinces and territories,Remand,Indigenous identity,40442
2018/2019,All Provinces and territories,Remand,Non-Indigenous identity,92391
2018/2019,All Provinces and territories,Remand,Indigenous identity unknown,434
2018/2019,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",20469
2018/2019,All Provinces and territories,Other custodial statuses,Indigenous identity,7109
2018/2019,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,13273
2018/2019,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,87
2018/2019,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1776
2018/2019,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,372
2018/2019,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1404
2018/2019,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2018/2019,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",801
2018/2019,Newfoundland and Labrador,Sentenced,Indigenous identity,154
2018/2019,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,647
2018/2019,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2018/2019,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",838
2018/2019,Newfoundland and Labrador,Remand,Indigenous identity,191
2018/2019,Newfoundland and Labrador,Remand,Non-Indigenous identity,647
2018/2019,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2018/2019,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",137
2018/2019,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,27
2018/2019,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,110
2018/2019,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2018/2019,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",769
2018/2019,Prince Edward Island,"Total, custodial admissions",Indigenous identity,29
2018/2019,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,735
2018/2019,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,5
2018/2019,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",482
2018/2019,Prince Edward Island,Sentenced,Indigenous identity,13
2018/2019,Prince Edward Island,Sentenced,Non-Indigenous identity,466
2018/2019,Prince Edward Island,Sentenced,Indigenous identity unknown,3
2018/2019,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",284
2018/2019,Prince Edward Island,Remand,Indigenous identity,16
2018/2019,Prince Edward Island,Remand,Non-Indigenous identity,266
2018/2019,Prince Edward Island,Remand,Indigenous identity unknown,2
2018/2019,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3
2018/2019,Prince Edward Island,Other custodial statuses,Indigenous identity,0
2018/2019,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,3
2018/2019,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,0
2018/2019,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4695
2018/2019,Nova Scotia,"Total, custodial admissions",Indigenous identity,447
2018/2019,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,4222
2018/2019,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,26
2018/2019,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",1153
2018/2019,Nova Scotia,Sentenced,Indigenous identity,83
2018/2019,Nova Scotia,Sentenced,Non-Indigenous identity,1065
2018/2019,Nova Scotia,Sentenced,Indigenous identity unknown,5
2018/2019,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",3276
2018/2019,Nova Scotia,Remand,Indigenous identity,352
2018/2019,Nova Scotia,Remand,Non-Indigenous identity,2903
2018/2019,Nova Scotia,Remand,Indigenous identity unknown,21
2018/2019,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",266
2018/2019,Nova Scotia,Other custodial statuses,Indigenous identity,12
2018/2019,Nova Scotia,Other custodial statuses,Non-Indigenous identity,254
2018/2019,Nova Scotia,Other custodial statuses,Indigenous identity unknown,0
2018/2019,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",5748
2018/2019,New Brunswick,"Total, custodial admissions",Indigenous identity,510
2018/2019,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,5235
2018/2019,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,3
2018/2019,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",2492
2018/2019,New Brunswick,Sentenced,Indigenous identity,193
2018/2019,New Brunswick,Sentenced,Non-Indigenous identity,2296
2018/2019,New Brunswick,Sentenced,Indigenous identity unknown,3
2018/2019,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",2557
2018/2019,New Brunswick,Remand,Indigenous identity,234
2018/2019,New Brunswick,Remand,Non-Indigenous identity,2323
2018/2019,New Brunswick,Remand,Indigenous identity unknown,0
2018/2019,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",699
2018/2019,New Brunswick,Other custodial statuses,Indigenous identity,83
2018/2019,New Brunswick,Other custodial statuses,Non-Indigenous identity,616
2018/2019,New Brunswick,Other custodial statuses,Indigenous identity unknown,0
2018/2019,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",43094
2018/2019,Quebec,"Total, custodial admissions",Indigenous identity,2530
2018/2019,Quebec,"Total, custodial admissions",Non-Indigenous identity,40564
2018/2019,Quebec,"Total, custodial admissions",Indigenous identity unknown,0
2018/2019,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",11933
2018/2019,Quebec,Sentenced,Indigenous identity,355
2018/2019,Quebec,Sentenced,Non-Indigenous identity,11578
2018/2019,Quebec,Sentenced,Indigenous identity unknown,0
2018/2019,Quebec,Remand,"Total, custodial admissions by Indigenous identity",27800
2018/2019,Quebec,Remand,Indigenous identity,2136
2018/2019,Quebec,Remand,Non-Indigenous identity,25664
2018/2019,Quebec,Remand,Indigenous identity unknown,0
2018/2019,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3361
2018/2019,Quebec,Other custodial statuses,Indigenous identity,39
2018/2019,Quebec,Other custodial statuses,Non-Indigenous identity,3322
2018/2019,Quebec,Other custodial statuses,Indigenous identity unknown,0
2018/2019,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",64818
2018/2019,Ontario,"Total, custodial admissions",Indigenous identity,8056
2018/2019,Ontario,"Total, custodial admissions",Non-Indigenous identity,56762
2018/2019,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2018/2019,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",18905
2018/2019,Ontario,Sentenced,Indigenous identity,1998
2018/2019,Ontario,Sentenced,Non-Indigenous identity,16907
2018/2019,Ontario,Sentenced,Indigenous identity unknown,0
2018/2019,Ontario,Remand,"Total, custodial admissions by Indigenous identity",41131
2018/2019,Ontario,Remand,Indigenous identity,5670
2018/2019,Ontario,Remand,Non-Indigenous identity,35461
2018/2019,Ontario,Remand,Indigenous identity unknown,0
2018/2019,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",4782
2018/2019,Ontario,Other custodial statuses,Indigenous identity,388
2018/2019,Ontario,Other custodial statuses,Non-Indigenous identity,4394
2018/2019,Ontario,Other custodial statuses,Indigenous identity unknown,0
2018/2019,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",28141
2018/2019,Manitoba,"Total, custodial admissions",Indigenous identity,21046
2018/2019,Manitoba,"Total, custodial admissions",Non-Indigenous identity,7095
2018/2019,Manitoba,"Total, custodial admissions",Indigenous identity unknown,0
2018/2019,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",6605
2018/2019,Manitoba,Sentenced,Indigenous identity,5057
2018/2019,Manitoba,Sentenced,Non-Indigenous identity,1548
2018/2019,Manitoba,Sentenced,Indigenous identity unknown,0
2018/2019,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",13925
2018/2019,Manitoba,Remand,Indigenous identity,10583
2018/2019,Manitoba,Remand,Non-Indigenous identity,3342
2018/2019,Manitoba,Remand,Indigenous identity unknown,0
2018/2019,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",7611
2018/2019,Manitoba,Other custodial statuses,Indigenous identity,5406
2018/2019,Manitoba,Other custodial statuses,Non-Indigenous identity,2205
2018/2019,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2018/2019,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",13160
2018/2019,Saskatchewan,"Total, custodial admissions",Indigenous identity,9840
2018/2019,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,3067
2018/2019,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,253
2018/2019,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",4557
2018/2019,Saskatchewan,Sentenced,Indigenous identity,3376
2018/2019,Saskatchewan,Sentenced,Non-Indigenous identity,1094
2018/2019,Saskatchewan,Sentenced,Indigenous identity unknown,87
2018/2019,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",8369
2018/2019,Saskatchewan,Remand,Indigenous identity,6308
2018/2019,Saskatchewan,Remand,Non-Indigenous identity,1907
2018/2019,Saskatchewan,Remand,Indigenous identity unknown,154
2018/2019,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",234
2018/2019,Saskatchewan,Other custodial statuses,Indigenous identity,156
2018/2019,Saskatchewan,Other custodial statuses,Non-Indigenous identity,66
2018/2019,Saskatchewan,Other custodial statuses,Indigenous identity unknown,12
2018/2019,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",37485
2018/2019,Alberta,"Total, custodial admissions",Indigenous identity,15770
2018/2019,Alberta,"Total, custodial admissions",Non-Indigenous identity,21233
2018/2019,Alberta,"Total, custodial admissions",Indigenous identity unknown,482
2018/2019,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",15208
2018/2019,Alberta,Sentenced,Indigenous identity,6062
2018/2019,Alberta,Sentenced,Non-Indigenous identity,8890
2018/2019,Alberta,Sentenced,Indigenous identity unknown,256
2018/2019,Alberta,Remand,"Total, custodial admissions by Indigenous identity",20273
2018/2019,Alberta,Remand,Indigenous identity,9052
2018/2019,Alberta,Remand,Non-Indigenous identity,11050
2018/2019,Alberta,Remand,Indigenous identity unknown,171
2018/2019,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",2004
2018/2019,Alberta,Other custodial statuses,Indigenous identity,656
2018/2019,Alberta,Other custodial statuses,Non-Indigenous identity,1293
2018/2019,Alberta,Other custodial statuses,Indigenous identity unknown,55
2018/2019,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",23432
2018/2019,British Columbia,"Total, custodial admissions",Indigenous identity,7616
2018/2019,British Columbia,"Total, custodial admissions",Non-Indigenous identity,15731
2018/2019,British Columbia,"Total, custodial admissions",Indigenous identity unknown,85
2018/2019,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",9144
2018/2019,British Columbia,Sentenced,Indigenous identity,3046
2018/2019,British Columbia,Sentenced,Non-Indigenous identity,6064
