REF_DATE,GEO,Sex,Sentence length ordered,VALUE
2015/2016,Yukon,Sex unknown,Unknown sentence length ordered,0
2015/2016,Northwest Territories,"Total, custodial admission by sex","Total, sentence length ordered",438
2015/2016,Northwest Territories,"Total, custodial admission by sex",1 month or less,98
2015/2016,Northwest Territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,128
2015/2016,Northwest Territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,91
2015/2016,Northwest Territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,54
2015/2016,Northwest Territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,35
2015/2016,Northwest Territories,"Total, custodial admission by sex",24 months or more,29
2015/2016,Northwest Territories,"Total, custodial admission by sex",Unknown sentence length ordered,3
2015/2016,Northwest Territories,"Total, custodial admission by sex",Median sentence length ordered,81
2015/2016,Northwest Territories,Male,"Total, sentence length ordered",415
2015/2016,Northwest Territories,Male,1 month or less,92
2015/2016,Northwest Territories,Male,Greater than 1 month to 3 months,124
2015/2016,Northwest Territories,Male,Greater than 3 months to 6 months,83
2015/2016,Northwest Territories,Male,Greater than 6 months to 12 months,52
2015/2016,Northwest Territories,Male,Greater than 12 to less than 24 months,33
2015/2016,Northwest Territories,Male,24 months or more,28
2015/2016,Northwest Territories,Male,Unknown sentence length ordered,3
2015/2016,Northwest Territories,Male,Median sentence length ordered,80
2015/2016,Northwest Territories,Female,"Total, sentence length ordered",23
2015/2016,Northwest Territories,Female,1 month or less,6
2015/2016,Northwest Territories,Female,Greater than 1 month to 3 months,4
2015/2016,Northwest Territories,Female,Greater than 3 months to 6 months,8
2015/2016,Northwest Territories,Female,Greater than 6 months to 12 months,2
2015/2016,Northwest Territories,Female,Greater than 12 to less than 24 months,2
2015/2016,Northwest Territories,Female,24 months or more,1
2015/2016,Northwest Territories,Female,Unknown sentence length ordered,0
2015/2016,Northwest Territories,Female,Median sentence length ordered,120
2015/2016,Northwest Territories,Sex unknown,"Total, sentence length ordered",0
2015/2016,Northwest Territories,Sex unknown,1 month or less,0
2015/2016,Northwest Territories,Sex unknown,Greater than 1 month to 3 months,0
2015/2016,Northwest Territories,Sex unknown,Greater than 3 months to 6 months,0
2015/2016,Northwest Territories,Sex unknown,Greater than 6 months to 12 months,0
2015/2016,Northwest Territories,Sex unknown,Greater than 12 to less than 24 months,0
2015/2016,Northwest Territories,Sex unknown,24 months or more,0
2015/2016,Northwest Territories,Sex unknown,Unknown sentence length ordered,0
2015/2016,Nunavut,"Total, custodial admission by sex","Total, sentence length ordered",427
2015/2016,Nunavut,"Total, custodial admission by sex",1 month or less,34
2015/2016,Nunavut,"Total, custodial admission by sex",Greater than 1 month to 3 months,71
2015/2016,Nunavut,"Total, custodial admission by sex",Greater than 3 months to 6 months,97
2015/2016,Nunavut,"Total, custodial admission by sex",Greater than 6 months to 12 months,75
2015/2016,Nunavut,"Total, custodial admission by sex",Greater than 12 to less than 24 months,102
2015/2016,Nunavut,"Total, custodial admission by sex",24 months or more,48
2015/2016,Nunavut,"Total, custodial admission by sex",Unknown sentence length ordered,0
2015/2016,Nunavut,"Total, custodial admission by sex",Median sentence length ordered,184
2015/2016,Nunavut,Male,"Total, sentence length ordered",414
2015/2016,Nunavut,Male,1 month or less,29
2015/2016,Nunavut,Male,Greater than 1 month to 3 months,68
2015/2016,Nunavut,Male,Greater than 3 months to 6 months,93
2015/2016,Nunavut,Male,Greater than 6 months to 12 months,74
2015/2016,Nunavut,Male,Greater than 12 to less than 24 months,102
2015/2016,Nunavut,Male,24 months or more,48
2015/2016,Nunavut,Male,Unknown sentence length ordered,0
2015/2016,Nunavut,Male,Median sentence length ordered,184
2015/2016,Nunavut,Female,"Total, sentence length ordered",13
2015/2016,Nunavut,Female,1 month or less,5
2015/2016,Nunavut,Female,Greater than 1 month to 3 months,3
2015/2016,Nunavut,Female,Greater than 3 months to 6 months,4
2015/2016,Nunavut,Female,Greater than 6 months to 12 months,1
2015/2016,Nunavut,Female,Greater than 12 to less than 24 months,0
2015/2016,Nunavut,Female,24 months or more,0
2015/2016,Nunavut,Female,Unknown sentence length ordered,0
2015/2016,Nunavut,Female,Median sentence length ordered,73
2015/2016,Nunavut,Sex unknown,"Total, sentence length ordered",0
2015/2016,Nunavut,Sex unknown,1 month or less,0
2015/2016,Nunavut,Sex unknown,Greater than 1 month to 3 months,0
2015/2016,Nunavut,Sex unknown,Greater than 3 months to 6 months,0
2015/2016,Nunavut,Sex unknown,Greater than 6 months to 12 months,0
2015/2016,Nunavut,Sex unknown,Greater than 12 to less than 24 months,0
2015/2016,Nunavut,Sex unknown,24 months or more,0
2015/2016,Nunavut,Sex unknown,Unknown sentence length ordered,0
2016/2017,All Provinces and territories,"Total, custodial admission by sex","Total, sentence length ordered",84543
2016/2017,All Provinces and territories,"Total, custodial admission by sex",1 month or less,36681
2016/2017,All Provinces and territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,16122
2016/2017,All Provinces and territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,6434
2016/2017,All Provinces and territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,4045
2016/2017,All Provinces and territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,2489
2016/2017,All Provinces and territories,"Total, custodial admission by sex",24 months or more,1990
2016/2017,All Provinces and territories,"Total, custodial admission by sex",Unknown sentence length ordered,16782
2016/2017,All Provinces and territories,Male,"Total, sentence length ordered",73642
2016/2017,All Provinces and territories,Male,1 month or less,30683
2016/2017,All Provinces and territories,Male,Greater than 1 month to 3 months,14307
2016/2017,All Provinces and territories,Male,Greater than 3 months to 6 months,5779
2016/2017,All Provinces and territories,Male,Greater than 6 months to 12 months,3679
2016/2017,All Provinces and territories,Male,Greater than 12 to less than 24 months,2325
2016/2017,All Provinces and territories,Male,24 months or more,1772
2016/2017,All Provinces and territories,Male,Unknown sentence length ordered,15097
2016/2017,All Provinces and territories,Female,"Total, sentence length ordered",10806
2016/2017,All Provinces and territories,Female,1 month or less,5964
2016/2017,All Provinces and territories,Female,Greater than 1 month to 3 months,1802
2016/2017,All Provinces and territories,Female,Greater than 3 months to 6 months,635
2016/2017,All Provinces and territories,Female,Greater than 6 months to 12 months,353
2016/2017,All Provinces and territories,Female,Greater than 12 to less than 24 months,156
2016/2017,All Provinces and territories,Female,24 months or more,214
2016/2017,All Provinces and territories,Female,Unknown sentence length ordered,1682
2016/2017,All Provinces and territories,Sex unknown,"Total, sentence length ordered",95
2016/2017,All Provinces and territories,Sex unknown,1 month or less,34
2016/2017,All Provinces and territories,Sex unknown,Greater than 1 month to 3 months,13
2016/2017,All Provinces and territories,Sex unknown,Greater than 3 months to 6 months,20
2016/2017,All Provinces and territories,Sex unknown,Greater than 6 months to 12 months,13
2016/2017,All Provinces and territories,Sex unknown,Greater than 12 to less than 24 months,8
2016/2017,All Provinces and territories,Sex unknown,24 months or more,4
2016/2017,All Provinces and territories,Sex unknown,Unknown sentence length ordered,3
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex","Total, sentence length ordered",977
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex",1 month or less,299
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 1 month to 3 months,323
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 3 months to 6 months,217
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 6 months to 12 months,97
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 12 to less than 24 months,33
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex",24 months or more,7
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex",Unknown sentence length ordered,1
2016/2017,Newfoundland and Labrador,"Total, custodial admission by sex",Median sentence length ordered,59
2016/2017,Newfoundland and Labrador,Male,"Total, sentence length ordered",859
2016/2017,Newfoundland and Labrador,Male,1 month or less,245
2016/2017,Newfoundland and Labrador,Male,Greater than 1 month to 3 months,289
2016/2017,Newfoundland and Labrador,Male,Greater than 3 months to 6 months,194
2016/2017,Newfoundland and Labrador,Male,Greater than 6 months to 12 months,90
2016/2017,Newfoundland and Labrador,Male,Greater than 12 to less than 24 months,33
2016/2017,Newfoundland and Labrador,Male,24 months or more,7
2016/2017,Newfoundland and Labrador,Male,Unknown sentence length ordered,1
2016/2017,Newfoundland and Labrador,Female,"Total, sentence length ordered",114
2016/2017,Newfoundland and Labrador,Female,1 month or less,52
2016/2017,Newfoundland and Labrador,Female,Greater than 1 month to 3 months,34
2016/2017,Newfoundland and Labrador,Female,Greater than 3 months to 6 months,22
2016/2017,Newfoundland and Labrador,Female,Greater than 6 months to 12 months,6
2016/2017,Newfoundland and Labrador,Female,Greater than 12 to less than 24 months,0
2016/2017,Newfoundland and Labrador,Female,24 months or more,0
2016/2017,Newfoundland and Labrador,Female,Unknown sentence length ordered,0
2016/2017,Newfoundland and Labrador,Sex unknown,"Total, sentence length ordered",4
2016/2017,Newfoundland and Labrador,Sex unknown,1 month or less,2
2016/2017,Newfoundland and Labrador,Sex unknown,Greater than 1 month to 3 months,0
2016/2017,Newfoundland and Labrador,Sex unknown,Greater than 3 months to 6 months,1
2016/2017,Newfoundland and Labrador,Sex unknown,Greater than 6 months to 12 months,1
2016/2017,Newfoundland and Labrador,Sex unknown,Greater than 12 to less than 24 months,0
2016/2017,Newfoundland and Labrador,Sex unknown,24 months or more,0
2016/2017,Newfoundland and Labrador,Sex unknown,Unknown sentence length ordered,0
2016/2017,Prince Edward Island,"Total, custodial admission by sex","Total, sentence length ordered",484
2016/2017,Prince Edward Island,"Total, custodial admission by sex",1 month or less,326
2016/2017,Prince Edward Island,"Total, custodial admission by sex",Greater than 1 month to 3 months,94
2016/2017,Prince Edward Island,"Total, custodial admission by sex",Greater than 3 months to 6 months,35
2016/2017,Prince Edward Island,"Total, custodial admission by sex",Greater than 6 months to 12 months,13
2016/2017,Prince Edward Island,"Total, custodial admission by sex",Greater than 12 to less than 24 months,8
2016/2017,Prince Edward Island,"Total, custodial admission by sex",24 months or more,5
2016/2017,Prince Edward Island,"Total, custodial admission by sex",Unknown sentence length ordered,3
2016/2017,Prince Edward Island,Male,"Total, sentence length ordered",414
2016/2017,Prince Edward Island,Male,1 month or less,275
2016/2017,Prince Edward Island,Male,Greater than 1 month to 3 months,79
2016/2017,Prince Edward Island,Male,Greater than 3 months to 6 months,35
2016/2017,Prince Edward Island,Male,Greater than 6 months to 12 months,10
2016/2017,Prince Edward Island,Male,Greater than 12 to less than 24 months,7
2016/2017,Prince Edward Island,Male,24 months or more,5
2016/2017,Prince Edward Island,Male,Unknown sentence length ordered,3
2016/2017,Prince Edward Island,Female,"Total, sentence length ordered",70
2016/2017,Prince Edward Island,Female,1 month or less,51
2016/2017,Prince Edward Island,Female,Greater than 1 month to 3 months,15
2016/2017,Prince Edward Island,Female,Greater than 3 months to 6 months,0
2016/2017,Prince Edward Island,Female,Greater than 6 months to 12 months,3
2016/2017,Prince Edward Island,Female,Greater than 12 to less than 24 months,1
2016/2017,Prince Edward Island,Female,24 months or more,0
2016/2017,Prince Edward Island,Female,Unknown sentence length ordered,0
2016/2017,Prince Edward Island,Sex unknown,"Total, sentence length ordered",0
2016/2017,Prince Edward Island,Sex unknown,1 month or less,0
2016/2017,Prince Edward Island,Sex unknown,Greater than 1 month to 3 months,0
2016/2017,Prince Edward Island,Sex unknown,Greater than 3 months to 6 months,0
2016/2017,Prince Edward Island,Sex unknown,Greater than 6 months to 12 months,0
2016/2017,Prince Edward Island,Sex unknown,Greater than 12 to less than 24 months,0
2016/2017,Prince Edward Island,Sex unknown,24 months or more,0
2016/2017,Prince Edward Island,Sex unknown,Unknown sentence length ordered,0
2016/2017,Nova Scotia,"Total, custodial admission by sex","Total, sentence length ordered",1642
2016/2017,Nova Scotia,"Total, custodial admission by sex",1 month or less,406
2016/2017,Nova Scotia,"Total, custodial admission by sex",Greater than 1 month to 3 months,367
2016/2017,Nova Scotia,"Total, custodial admission by sex",Greater than 3 months to 6 months,378
2016/2017,Nova Scotia,"Total, custodial admission by sex",Greater than 6 months to 12 months,206
2016/2017,Nova Scotia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,194
2016/2017,Nova Scotia,"Total, custodial admission by sex",24 months or more,23
2016/2017,Nova Scotia,"Total, custodial admission by sex",Unknown sentence length ordered,68
2016/2017,Nova Scotia,"Total, custodial admission by sex",Median sentence length ordered,93
2016/2017,Nova Scotia,Male,"Total, sentence length ordered",1378
2016/2017,Nova Scotia,Male,1 month or less,329
2016/2017,Nova Scotia,Male,Greater than 1 month to 3 months,310
2016/2017,Nova Scotia,Male,Greater than 3 months to 6 months,310
2016/2017,Nova Scotia,Male,Greater than 6 months to 12 months,184
2016/2017,Nova Scotia,Male,Greater than 12 to less than 24 months,166
2016/2017,Nova Scotia,Male,24 months or more,19
2016/2017,Nova Scotia,Male,Unknown sentence length ordered,60
2016/2017,Nova Scotia,Female,"Total, sentence length ordered",178
2016/2017,Nova Scotia,Female,1 month or less,45
2016/2017,Nova Scotia,Female,Greater than 1 month to 3 months,46
2016/2017,Nova Scotia,Female,Greater than 3 months to 6 months,51
2016/2017,Nova Scotia,Female,Greater than 6 months to 12 months,10
2016/2017,Nova Scotia,Female,Greater than 12 to less than 24 months,20
2016/2017,Nova Scotia,Female,24 months or more,1
2016/2017,Nova Scotia,Female,Unknown sentence length ordered,5
2016/2017,Nova Scotia,Sex unknown,"Total, sentence length ordered",86
2016/2017,Nova Scotia,Sex unknown,1 month or less,32
2016/2017,Nova Scotia,Sex unknown,Greater than 1 month to 3 months,11
2016/2017,Nova Scotia,Sex unknown,Greater than 3 months to 6 months,17
2016/2017,Nova Scotia,Sex unknown,Greater than 6 months to 12 months,12
2016/2017,Nova Scotia,Sex unknown,Greater than 12 to less than 24 months,8
2016/2017,Nova Scotia,Sex unknown,24 months or more,3
2016/2017,Nova Scotia,Sex unknown,Unknown sentence length ordered,3
2016/2017,New Brunswick,"Total, custodial admission by sex","Total, sentence length ordered",2514
2016/2017,New Brunswick,"Total, custodial admission by sex",1 month or less,1496
2016/2017,New Brunswick,"Total, custodial admission by sex",Greater than 1 month to 3 months,582
2016/2017,New Brunswick,"Total, custodial admission by sex",Greater than 3 months to 6 months,278
2016/2017,New Brunswick,"Total, custodial admission by sex",Greater than 6 months to 12 months,126
2016/2017,New Brunswick,"Total, custodial admission by sex",Greater than 12 to less than 24 months,30
2016/2017,New Brunswick,"Total, custodial admission by sex",24 months or more,2
2016/2017,New Brunswick,"Total, custodial admission by sex",Unknown sentence length ordered,0
2016/2017,New Brunswick,"Total, custodial admission by sex",Median sentence length ordered,20
2016/2017,New Brunswick,Male,"Total, sentence length ordered",2194
2016/2017,New Brunswick,Male,1 month or less,1285
2016/2017,New Brunswick,Male,Greater than 1 month to 3 months,515
2016/2017,New Brunswick,Male,Greater than 3 months to 6 months,249
2016/2017,New Brunswick,Male,Greater than 6 months to 12 months,116
2016/2017,New Brunswick,Male,Greater than 12 to less than 24 months,28
2016/2017,New Brunswick,Male,24 months or more,1
2016/2017,New Brunswick,Male,Unknown sentence length ordered,0
2016/2017,New Brunswick,Female,"Total, sentence length ordered",320
2016/2017,New Brunswick,Female,1 month or less,211
2016/2017,New Brunswick,Female,Greater than 1 month to 3 months,67
2016/2017,New Brunswick,Female,Greater than 3 months to 6 months,29
2016/2017,New Brunswick,Female,Greater than 6 months to 12 months,10
2016/2017,New Brunswick,Female,Greater than 12 to less than 24 months,2
2016/2017,New Brunswick,Female,24 months or more,1
2016/2017,New Brunswick,Female,Unknown sentence length ordered,0
2016/2017,New Brunswick,Sex unknown,"Total, sentence length ordered",0
2016/2017,New Brunswick,Sex unknown,1 month or less,0
2016/2017,New Brunswick,Sex unknown,Greater than 1 month to 3 months,0
2016/2017,New Brunswick,Sex unknown,Greater than 3 months to 6 months,0
2016/2017,New Brunswick,Sex unknown,Greater than 6 months to 12 months,0
2016/2017,New Brunswick,Sex unknown,Greater than 12 to less than 24 months,0
2016/2017,New Brunswick,Sex unknown,24 months or more,0
2016/2017,New Brunswick,Sex unknown,Unknown sentence length ordered,0
2016/2017,Quebec,"Total, custodial admission by sex","Total, sentence length ordered",11467
2016/2017,Quebec,"Total, custodial admission by sex",1 month or less,3262
2016/2017,Quebec,"Total, custodial admission by sex",Greater than 1 month to 3 months,2866
2016/2017,Quebec,"Total, custodial admission by sex",Greater than 3 months to 6 months,911
2016/2017,Quebec,"Total, custodial admission by sex",Greater than 6 months to 12 months,640
2016/2017,Quebec,"Total, custodial admission by sex",Greater than 12 to less than 24 months,459
2016/2017,Quebec,"Total, custodial admission by sex",24 months or more,58
2016/2017,Quebec,"Total, custodial admission by sex",Unknown sentence length ordered,3271
2016/2017,Quebec,"Total, custodial admission by sex",Median sentence length ordered,60
2016/2017,Quebec,Male,"Total, sentence length ordered",10175
2016/2017,Quebec,Male,1 month or less,2813
2016/2017,Quebec,Male,Greater than 1 month to 3 months,2550
2016/2017,Quebec,Male,Greater than 3 months to 6 months,841
2016/2017,Quebec,Male,Greater than 6 months to 12 months,585
2016/2017,Quebec,Male,Greater than 12 to less than 24 months,443
2016/2017,Quebec,Male,24 months or more,54
2016/2017,Quebec,Male,Unknown sentence length ordered,2889
2016/2017,Quebec,Male,Median sentence length ordered,60
2016/2017,Quebec,Female,"Total, sentence length ordered",1292
2016/2017,Quebec,Female,1 month or less,449
2016/2017,Quebec,Female,Greater than 1 month to 3 months,316
2016/2017,Quebec,Female,Greater than 3 months to 6 months,70
2016/2017,Quebec,Female,Greater than 6 months to 12 months,55
2016/2017,Quebec,Female,Greater than 12 to less than 24 months,16
2016/2017,Quebec,Female,24 months or more,4
2016/2017,Quebec,Female,Unknown sentence length ordered,382
2016/2017,Quebec,Female,Median sentence length ordered,33
2016/2017,Quebec,Sex unknown,"Total, sentence length ordered",0
2016/2017,Quebec,Sex unknown,1 month or less,0
2016/2017,Quebec,Sex unknown,Greater than 1 month to 3 months,0
2016/2017,Quebec,Sex unknown,Greater than 3 months to 6 months,0
2016/2017,Quebec,Sex unknown,Greater than 6 months to 12 months,0
2016/2017,Quebec,Sex unknown,Greater than 12 to less than 24 months,0
2016/2017,Quebec,Sex unknown,24 months or more,0
2016/2017,Quebec,Sex unknown,Unknown sentence length ordered,0
2016/2017,Ontario,"Total, custodial admission by sex","Total, sentence length ordered",22951
2016/2017,Ontario,"Total, custodial admission by sex",1 month or less,12238
2016/2017,Ontario,"Total, custodial admission by sex",Greater than 1 month to 3 months,5807
2016/2017,Ontario,"Total, custodial admission by sex",Greater than 3 months to 6 months,1674
2016/2017,Ontario,"Total, custodial admission by sex",Greater than 6 months to 12 months,1095
2016/2017,Ontario,"Total, custodial admission by sex",Greater than 12 to less than 24 months,404
2016/2017,Ontario,"Total, custodial admission by sex",24 months or more,1
2016/2017,Ontario,"Total, custodial admission by sex",Unknown sentence length ordered,1732
2016/2017,Ontario,"Total, custodial admission by sex",Median sentence length ordered,26
2016/2017,Ontario,Male,"Total, sentence length ordered",20517
2016/2017,Ontario,Male,1 month or less,10622
2016/2017,Ontario,Male,Greater than 1 month to 3 months,5319
2016/2017,Ontario,Male,Greater than 3 months to 6 months,1567
2016/2017,Ontario,Male,Greater than 6 months to 12 months,1023
2016/2017,Ontario,Male,Greater than 12 to less than 24 months,387
2016/2017,Ontario,Male,24 months or more,1
2016/2017,Ontario,Male,Unknown sentence length ordered,1598
2016/2017,Ontario,Male,Median sentence length ordered,
2016/2017,Ontario,Female,"Total, sentence length ordered",2434
2016/2017,Ontario,Female,1 month or less,1616
2016/2017,Ontario,Female,Greater than 1 month to 3 months,488
2016/2017,Ontario,Female,Greater than 3 months to 6 months,107
2016/2017,Ontario,Female,Greater than 6 months to 12 months,72
2016/2017,Ontario,Female,Greater than 12 to less than 24 months,17
2016/2017,Ontario,Female,24 months or more,0
2016/2017,Ontario,Female,Unknown sentence length ordered,134
2016/2017,Ontario,Female,Median sentence length ordered,
2016/2017,Ontario,Sex unknown,"Total, sentence length ordered",0
2016/2017,Ontario,Sex unknown,1 month or less,0
2016/2017,Ontario,Sex unknown,Greater than 1 month to 3 months,0
2016/2017,Ontario,Sex unknown,Greater than 3 months to 6 months,0
2016/2017,Ontario,Sex unknown,Greater than 6 months to 12 months,0
2016/2017,Ontario,Sex unknown,Greater than 12 to less than 24 months,0
2016/2017,Ontario,Sex unknown,24 months or more,0
2016/2017,Ontario,Sex unknown,Unknown sentence length ordered,0
2016/2017,Manitoba,"Total, custodial admission by sex","Total, sentence length ordered",7114
2016/2017,Manitoba,"Total, custodial admission by sex",1 month or less,3441
2016/2017,Manitoba,"Total, custodial admission by sex",Greater than 1 month to 3 months,1091
2016/2017,Manitoba,"Total, custodial admission by sex",Greater than 3 months to 6 months,665
2016/2017,Manitoba,"Total, custodial admission by sex",Greater than 6 months to 12 months,556
2016/2017,Manitoba,"Total, custodial admission by sex",Greater than 12 to less than 24 months,573
2016/2017,Manitoba,"Total, custodial admission by sex",24 months or more,393
2016/2017,Manitoba,"Total, custodial admission by sex",Unknown sentence length ordered,395
2016/2017,Manitoba,"Total, custodial admission by sex",Median sentence length ordered,30
2016/2017,Manitoba,Male,"Total, sentence length ordered",6002
2016/2017,Manitoba,Male,1 month or less,2749
2016/2017,Manitoba,Male,Greater than 1 month to 3 months,928
2016/2017,Manitoba,Male,Greater than 3 months to 6 months,587
2016/2017,Manitoba,Male,Greater than 6 months to 12 months,490
2016/2017,Manitoba,Male,Greater than 12 to less than 24 months,526
2016/2017,Manitoba,Male,24 months or more,350
2016/2017,Manitoba,Male,Unknown sentence length ordered,372
2016/2017,Manitoba,Male,Median sentence length ordered,36
2016/2017,Manitoba,Female,"Total, sentence length ordered",1112
2016/2017,Manitoba,Female,1 month or less,692
2016/2017,Manitoba,Female,Greater than 1 month to 3 months,163
2016/2017,Manitoba,Female,Greater than 3 months to 6 months,78
2016/2017,Manitoba,Female,Greater than 6 months to 12 months,66
2016/2017,Manitoba,Female,Greater than 12 to less than 24 months,47
2016/2017,Manitoba,Female,24 months or more,43
2016/2017,Manitoba,Female,Unknown sentence length ordered,23
2016/2017,Manitoba,Female,Median sentence length ordered,14
2016/2017,Manitoba,Sex unknown,"Total, sentence length ordered",0
2016/2017,Manitoba,Sex unknown,1 month or less,0
2016/2017,Manitoba,Sex unknown,Greater than 1 month to 3 months,0
2016/2017,Manitoba,Sex unknown,Greater than 3 months to 6 months,0
2016/2017,Manitoba,Sex unknown,Greater than 6 months to 12 months,0
2016/2017,Manitoba,Sex unknown,Greater than 12 to less than 24 months,0
2016/2017,Manitoba,Sex unknown,24 months or more,0
2016/2017,Manitoba,Sex unknown,Unknown sentence length ordered,0
2016/2017,Manitoba,Sex unknown,Median sentence length ordered,
2016/2017,Saskatchewan,"Total, custodial admission by sex","Total, sentence length ordered",4595
2016/2017,Saskatchewan,"Total, custodial admission by sex",1 month or less,969
2016/2017,Saskatchewan,"Total, custodial admission by sex",Greater than 1 month to 3 months,1409
2016/2017,Saskatchewan,"Total, custodial admission by sex",Greater than 3 months to 6 months,887
2016/2017,Saskatchewan,"Total, custodial admission by sex",Greater than 6 months to 12 months,584
2016/2017,Saskatchewan,"Total, custodial admission by sex",Greater than 12 to less than 24 months,359
2016/2017,Saskatchewan,"Total, custodial admission by sex",24 months or more,387
2016/2017,Saskatchewan,"Total, custodial admission by sex",Unknown sentence length ordered,0
2016/2017,Saskatchewan,"Total, custodial admission by sex",Median sentence length ordered,84
2016/2017,Saskatchewan,Male,"Total, sentence length ordered",3832
2016/2017,Saskatchewan,Male,1 month or less,762
2016/2017,Saskatchewan,Male,Greater than 1 month to 3 months,1155
2016/2017,Saskatchewan,Male,Greater than 3 months to 6 months,749
2016/2017,Saskatchewan,Male,Greater than 6 months to 12 months,506
2016/2017,Saskatchewan,Male,Greater than 12 to less than 24 months,333
2016/2017,Saskatchewan,Male,24 months or more,327
2016/2017,Saskatchewan,Male,Unknown sentence length ordered,0
2016/2017,Saskatchewan,Male,Median sentence length ordered,
2016/2017,Saskatchewan,Female,"Total, sentence length ordered",758
2016/2017,Saskatchewan,Female,1 month or less,207
2016/2017,Saskatchewan,Female,Greater than 1 month to 3 months,252
2016/2017,Saskatchewan,Female,Greater than 3 months to 6 months,136
2016/2017,Saskatchewan,Female,Greater than 6 months to 12 months,78
2016/2017,Saskatchewan,Female,Greater than 12 to less than 24 months,26
2016/2017,Saskatchewan,Female,24 months or more,59
2016/2017,Saskatchewan,Female,Unknown sentence length ordered,0
2016/2017,Saskatchewan,Female,Median sentence length ordered,
2016/2017,Saskatchewan,Sex unknown,"Total, sentence length ordered",5
2016/2017,Saskatchewan,Sex unknown,1 month or less,0
2016/2017,Saskatchewan,Sex unknown,Greater than 1 month to 3 months,2
2016/2017,Saskatchewan,Sex unknown,Greater than 3 months to 6 months,2
2016/2017,Saskatchewan,Sex unknown,Greater than 6 months to 12 months,0
2016/2017,Saskatchewan,Sex unknown,Greater than 12 to less than 24 months,0
2016/2017,Saskatchewan,Sex unknown,24 months or more,1
2016/2017,Saskatchewan,Sex unknown,Unknown sentence length ordered,0
2016/2017,Alberta,"Total, custodial admission by sex","Total, sentence length ordered",20544
2016/2017,Alberta,"Total, custodial admission by sex",1 month or less,14048
2016/2017,Alberta,"Total, custodial admission by sex",Greater than 1 month to 3 months,3383
2016/2017,Alberta,"Total, custodial admission by sex",Greater than 3 months to 6 months,1182
2016/2017,Alberta,"Total, custodial admission by sex",Greater than 6 months to 12 months,600
2016/2017,Alberta,"Total, custodial admission by sex",Greater than 12 to less than 24 months,303
2016/2017,Alberta,"Total, custodial admission by sex",24 months or more,1027
2016/2017,Alberta,"Total, custodial admission by sex",Unknown sentence length ordered,1
2016/2017,Alberta,"Total, custodial admission by sex",Median sentence length ordered,9
2016/2017,Alberta,Male,"Total, sentence length ordered",17218
2016/2017,Alberta,Male,1 month or less,11427
2016/2017,Alberta,Male,Greater than 1 month to 3 months,2977
2016/2017,Alberta,Male,Greater than 3 months to 6 months,1053
2016/2017,Alberta,Male,Greater than 6 months to 12 months,552
2016/2017,Alberta,Male,Greater than 12 to less than 24 months,283
2016/2017,Alberta,Male,24 months or more,925
2016/2017,Alberta,Male,Unknown sentence length ordered,1
2016/2017,Alberta,Male,Median sentence length ordered,0
2016/2017,Alberta,Female,"Total, sentence length ordered",3326
2016/2017,Alberta,Female,1 month or less,2621
2016/2017,Alberta,Female,Greater than 1 month to 3 months,406
2016/2017,Alberta,Female,Greater than 3 months to 6 months,129
2016/2017,Alberta,Female,Greater than 6 months to 12 months,48
2016/2017,Alberta,Female,Greater than 12 to less than 24 months,20
2016/2017,Alberta,Female,24 months or more,102
2016/2017,Alberta,Female,Unknown sentence length ordered,0
2016/2017,Alberta,Female,Median sentence length ordered,0
2016/2017,Alberta,Sex unknown,"Total, sentence length ordered",0
2016/2017,Alberta,Sex unknown,1 month or less,0
2016/2017,Alberta,Sex unknown,Greater than 1 month to 3 months,0
2016/2017,Alberta,Sex unknown,Greater than 3 months to 6 months,0
2016/2017,Alberta,Sex unknown,Greater than 6 months to 12 months,0
2016/2017,Alberta,Sex unknown,Greater than 12 to less than 24 months,0
2016/2017,Alberta,Sex unknown,24 months or more,0
2016/2017,Alberta,Sex unknown,Unknown sentence length ordered,0
2016/2017,British Columbia,"Total, custodial admission by sex","Total, sentence length ordered",11279
2016/2017,British Columbia,"Total, custodial admission by sex",1 month or less,0
2016/2017,British Columbia,"Total, custodial admission by sex",Greater than 1 month to 3 months,0
2016/2017,British Columbia,"Total, custodial admission by sex",Greater than 3 months to 6 months,0
2016/2017,British Columbia,"Total, custodial admission by sex",Greater than 6 months to 12 months,0
2016/2017,British Columbia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,0
